GroupName,GroupDescription,MembershipRule
Devices - LA,Devices - LA,"(device.displayName -startsWith""LA"")"
Devices - LIB,Devices - LIB,"(device.displayName -startsWith""LIB"")"
Devices - MC,Devices - MC,"(device.displayName -startsWith""MC"")"
Devices - MED,Devices - MED,"(device.displayName -startsWith""MED"")"
Devices - NURS,Devices - NURS,"(device.displayName -startsWith""NURS"")"
Devices - PHAR,Devices - PHAR,"(device.displayName -startsWith""PHAR"")"
Devices - PHHI,Devices - PHHI,"(device.displayName -startsWith""PHHI"")"
Devices - PM,Devices - PM,"(device.displayName -startsWith""PM"")"
Devices - PO,Devices - PO,"(device.displayName -startsWith""PO"")"
Devices - PRD,Devices - PRD,"(device.displayName -startsWith""PRD"")"
Devices - PRY-Females,Devices - PRY-Females,"(device.displayName -startsWith""PRY"")"
Devices - PSPM,Devices - PSPM,"(device.displayName -startsWith""PSPM"")"
Devices - QEC,Devices - QEC,"(device.displayName -startsWith""QEC"")"
Devices - QSA,Devices - QSA,"(device.displayName -startsWith""QSA"")"
Devices - QUDS,Devices - QUDS,"(device.displayName -startsWith""QUDS"")"
Devices - Rector,Devices - Rector,"(device.displayName -startsWith""Rector"")"
Devices - RSD-Females,Devices - RSD-Females,"(device.displayName -startsWith""RSDF"")"
Devices - SAB-Females,Devices - SAB-Females,"(device.displayName -startsWith""SAB-Females"")"
Devices - SM,Devices - SM,"(device.displayName -startsWith""SM"")"
Devices - SPD,Devices - SPD,"(device.displayName -startsWith""SPD"")"
Devices - SPTD,Devices - SPTD,"(device.displayName -startsWith""SPTD"")"
Devices - SRD,Devices - SRD,"(device.displayName -startsWith""SRD"")"
Devices - STUD,Devices - STUD,"(device.displayName -startsWith""STUD"")"
Devices - TTD,Devices - TTD,"(device.displayName -startsWith""TTD"")"
Devices - UAS-Females,Devices - UAS-Females,"(device.displayName -startsWith""UAS"")"
Devices - UIA,Devices - UIA,"(device.displayName -startsWith""UIA"")"
Devices - VP,Devices - VP,"(device.displayName -startsWith""VP"")"
